input,output,ground_truth,label
What programming language did Paul Graham first learn?,Paul Graham first learned Fortran,"The language we used was an early version of Fortran. You had to type programs on punch cards, then stack them in the card reader and press a button to load the program into memory and run it.",1
What programming language did Paul Graham create?,Paul Graham created Arc and later Bel,"In the summer of 2006, Robert and I started working on a new version of Arc. This one was reasonably fast, because it was compiled into Scheme.",1
What was Paul Graham's first successful company?,Viaweb was Paul Graham's first successful company,"We started a new company we called Viaweb, after the fact that our software worked via the web, and we got $10,000 in seed funding from Idelle's husband Julian.",1
What company bought Viaweb?,Yahoo bought Viaweb,In the summer of 1998 we sold Viaweb to Yahoo for about $50 million.,1
What year was Y Combinator founded?,Y Combinator was founded in 2005,"As Jessica and I were walking home from dinner on March 11, at the corner of Garden and Walker streets, these three threads converged. Screw the VCs who were taking so long to make up their minds. We'd start our own investment firm and actually implement the ideas we'd been talking about.",1
What was Hacker News originally called?,Hacker News was originally called Startup News,"It was originally meant to be a news aggregator for startup founders and was called Startup News, but after a few months I got tired of reading about nothing but startups.",1
How much did Y Combinator invest in startups during their first batch?,"Y Combinator invested $6,000 per founder","We invested $6k per founder, which in the typical two-founder case was $12k, in return for 6%.",1
What was Paul Graham's college major?,Paul Graham studied Artificial Intelligence in college,I studied philosophy in college. But I also started learning artificial intelligence on the side.,1
What year did Paul Graham move to England?,Paul Graham moved to England in 2016,"In the summer of 2016 we moved to England. We wanted our kids to see what it was like living in another country, and since I was a British citizen by birth, that seemed the obvious choice.",1
Who became the second president of Y Combinator?,Sam Altman became the second president of Y Combinator,"When we asked Sam if he wanted to be president of YC, initially he said no. He wanted to start a startup to make nuclear reactors. But I kept at it, and in October 2013 he finally agreed. We decided he'd take over starting with the winter 2014 batch.",1
What programming language did Paul Graham use to write On Lisp?,Paul Graham used Scheme to write On Lisp.,"The book, On Lisp, wasn't published till 1993, but I wrote much of it in grad school.",0
What was the name of the company Paul Graham worked at after graduating from Harvard?,"After graduating from Harvard, Paul Graham worked at a startup called Viaweb.","I got one at a company called Interleaf, which made software for creating documents. You mean like Microsoft Word? Exactly.",0
What art school in Florence did Paul Graham attend?,Paul Graham attended the Uffizi art school in Florence.,"Only stranieri (foreigners) had to take this entrance exam. In retrospect it may well have been a way of excluding them, because there were so many stranieri attracted by the idea of studying art in Florence that the Italian students would otherwise have been outnumbered.",0
What was Paul Graham's undergraduate thesis about?,"For his undergraduate thesis, Paul Graham developed a neural network for image recognition.","For my undergraduate thesis, I reverse-engineered SHRDLU. My God did I love working on that program.",0
What did Paul Graham study in grad school at Harvard?,"In grad school at Harvard, Paul Graham studied philosophy and cognitive science.","Computer Science is an uneasy alliance between two halves, theory and systems. The theory people prove things, and the systems people build things. I wanted to build things.",0
What year did Paul Graham start working on Arc?,Paul Graham started working on the Arc programming language in 2000.,"In the summer of 2006, Robert and I started working on a new version of Arc. This one was reasonably fast, because it was compiled into Scheme.",0
What was the name of Paul Graham's first company?,Paul Graham's first company was called Interleaf.,"We started a new company we called Viaweb, after the fact that our software worked via the web, and we got $10,000 in seed funding from Idelle's husband Julian.",0
What did Paul Graham study in college before switching to AI?,"In college, Paul Graham initially studied philosophy before switching to artificial intelligence.",I studied philosophy in college. But I also started learning artificial intelligence on the side.,0
What company acquired Viaweb in 1998?,Google acquired Viaweb for $50 million in 1998.,In the summer of 1998 we sold Viaweb to Yahoo for about $50 million.,0
What programming language did Paul Graham first learn as a kid?,"As a kid, Paul Graham first learned BASIC programming.","The language we used was an early version of Fortran. You had to type programs on punch cards, then stack them in the card reader and press a button to load the program into memory and run it.",0
